Date,Close
2016-01-15,0.06527483959578456
2016-01-18,0.05957909023198843
2016-01-19,0.0623386258554543
2016-01-20,0.043539656048013686
2016-01-21,0.031676783357084015
2016-01-22,0.0596670808128727
2016-01-25,0.06419839244983899
2016-01-26,0.052243928243361826
2016-01-27,0.06577473063847122
2016-01-28,0.062132849863327066
2016-01-29,0.07631286593046521
2016-02-01,0.08662942758148678
2016-02-02,0.08322305954923731
2016-02-03,0.06658743836012965
2016-02-04,0.062238148162431395
2016-02-05,0.05553547292352684
2016-02-08,0.061028176035988924
2016-02-09,0.03370425477147071
2016-02-10,0.02264067341659931
2016-02-12,1.756907638117422e-05
2016-02-15,0.03183499216390151
2016-02-16,0.03278209605992699
2016-02-17,0.026297422567127193
2016-02-18,0.03701572075146625
2016-02-19,0.030187274157509048
2016-02-22,0.03446579437315622
2016-02-23,0.03271132607787591
2016-02-24,0.028659403387852223
2016-02-25,0.035336784964727086
2016-02-26,0.03676623986685368
2016-02-29,0.03195928248937491
2016-03-01,0.03370631659696338
2016-03-02,0.05336352852567511
2016-03-03,0.05971557727164384
2016-03-04,0.06133977304354249
2016-03-07,0.058263239010528156
2016-03-08,0.05445188198784601
2016-03-09,0.05026045211941721
2016-03-10,0.05650964190911795
2016-03-11,0.059082451646416956
2016-03-14,0.06785125026774691
2016-03-15,0.06438157548093387
2016-03-16,0.060140487561906986
2016-03-17,0.059008458247046425
2016-03-18,0.05271704459443949
2016-03-22,0.0623440272574492
2016-03-23,0.06092944073070633
2016-03-24,0.057698531143903053
2016-03-25,0.060982060840462815
2016-03-28,0.06489598642145616
2016-03-29,0.06397890967415493
2016-03-30,0.057300976341162324
2016-03-31,0.05372391238995655
2016-04-01,0.036045123660742695
2016-04-04,0.03482916933639185
2016-04-05,0.023218478231072204
2016-04-06,0.022699275724264112
2016-04-07,0.023724583790032505
2016-04-08,0.02585610479230971
2016-04-11,0.023762945360114363
2016-04-12,0.029045981147829247
2016-04-13,0.04249977000481825
2016-04-14,0.0582552240269229
2016-04-15,0.0563811698530679
2016-04-18,0.03936939619062929
2016-04-19,0.05716652208720391
2016-04-20,0.05812106017092128
2016-04-21,0.07171313653489725
2016-04-22,0.07792428419226854
2016-04-25,0.07396366261983561
2016-04-26,0.07140566317832892
2016-04-27,0.0695385204758438
2016-04-28,0.05096972008889428
2016-05-02,0.03554613285172187
2016-05-06,0.0343370319191495
2016-05-09,0.03758757240782651
2016-05-10,0.047970431912365774
2016-05-11,0.048381403100706766
2016-05-12,0.050383580853063714
2016-05-13,0.043421347920448605
2016-05-16,0.04503276618225188
2016-05-17,0.05057570814122536
2016-05-18,0.050334503598379154
2016-05-19,0.050393105906043956
2016-05-20,0.053060178820092174
2016-05-23,0.050629199444852
2016-05-24,0.04599502885161777
2016-05-25,0.053684650586208915
2016-05-26,0.05413401238442739
2016-05-27,0.0559889583727306
2016-05-30,0.06292296462395325
2016-05-31,0.06788784041029278
2016-06-01,0.059583852758478606
2016-06-02,0.047891966384461804
2016-06-03,0.05026138139287867
2016-06-06,0.048411720647387635
2016-06-07,0.05124919908243536
2016-06-08,0.05587239263290583
2016-06-09,0.05103988023523626
2016-06-10,0.0490460078644413
2016-06-13,0.031733875595373884
2016-06-14,0.026970652150176133
2016-06-15,0.028772106834852762
2016-06-16,0.014336685764785084
2016-06-17,0.019258727852509427
2016-06-20,0.030131662948798432
2016-06-21,0.03619232638500075
2016-06-22,0.033117825137683465
2016-06-23,0.03825127693789526
2016-06-24,0.0
2016-06-27,0.01062168278414044
2016-06-28,0.01103590642959662
2016-06-29,0.018282468001629915
2016-06-30,0.01855277041973885
2016-07-01,0.0217215348438054
2016-07-04,0.02449654867836404
2016-07-05,0.021330484955294937
2016-07-06,0.012696721383836873
2016-07-07,0.00964127024247996
2016-07-08,0.00460803477713001
2016-07-11,0.022504796212653055
2016-07-12,0.0340078658352147
2016-07-13,0.03804550094576803
2016-07-14,0.042638667347514314
2016-07-15,0.04596796376205209
2016-07-19,0.05267243946828831
2016-07-20,0.05144074557468359
2016-07-21,0.05525686512385586
2016-07-22,0.04981591092728016
2016-07-25,0.04960891526373473
2016-07-26,0.04255390018394967
2016-07-27,0.050933129946348354
2016-07-28,0.04534320159797861
2016-07-29,0.048091760178680665
2016-08-01,0.05006925410471702
2016-08-02,0.04280396186447566
2016-08-03,0.033634965818998885
2016-08-04,0.038743123957180936
2016-08-05,0.038730056049128825
2016-08-08,0.050509381247912044
2016-08-09,0.053911277151628134
2016-08-10,0.05302358867754625
2016-08-12,0.05851896345121005
2016-08-15,0.05702143926802988
2016-08-16,0.048901796239137374
2016-08-17,0.05333646343610943
2016-08-18,0.045615885279332635
2016-08-19,0.047394456605020174
2016-08-22,0.04895174468769209
2016-08-23,0.045953385784625045
2016-08-24,0.04892531847363113
2016-08-25,0.047695657365723454
2016-08-26,0.04188987621612855
2016-08-29,0.05309409730143633
2016-08-30,0.05273336495960679
2016-08-31,0.05755193825535415
2016-09-01,0.05872473944333728
2016-09-02,0.058690240166079766
2016-09-05,0.06201930426225205
2016-09-06,0.06333811754287083
2016-09-07,0.06127019369311387
2016-09-08,0.059674224602607795
2016-09-09,0.05988209146002338
2016-09-12,0.05117398601164658
2016-09-13,0.05284278690969646
2016-09-14,0.0494290427693464
2016-09-15,0.04320720846716808
2016-09-16,0.04660550343622094
2016-09-20,0.0457984875145141
2016-09-21,0.05517950310818737
2016-09-23,0.053585624882969585
2016-09-26,0.04735699526860415
2016-09-27,0.05150138066804538
2016-09-28,0.04500302943148443
2016-09-29,0.05179224326148962
2016-09-30,0.04454030932725711
2016-10-03,0.048966032267162396
2016-10-04,0.05303938632639149
2016-10-05,0.055525076676676444
2016-10-06,0.0578998350074969
2016-10-07,0.05673981132960909
2016-10-11,0.061636559755303744
