date,actual_normalized,lstm_pred_normalized,kf_pred_normalized,kf_corrected_normalized,actual_value,lstm_pred_value,kf_pred_value,kf_corrected_value,lstm_error,kf_pred_error,kf_corrected_error,kf_error,kf_gain,kf_error_cov
2025-10-14,0.9484626099853222,0.9237954020500183,0.9206422440540468,0.9435120972637353,46847.3203125,46017.801037573256,45911.7653102462,46680.84238220093,829.5192749267444,935.5550022538009,166.4779302990719,166.4779302990719,0.7719409079458391,8.487751396718384e-05
2025-10-15,0.9730058836949214,0.9304949641227722,0.932980982261229,0.9642801633064316,47672.671875,46243.09673733357,46326.6976040825,47379.23966861258,1429.5751376664266,1345.974270917497,293.4322063874206,293.4322063874206,0.7683623065334776,8.067373464765581e-05
2025-10-16,0.9909985926153426,0.9366922974586487,0.9460103154524029,0.9806052575451994,48277.73828125,46451.50327725243,46764.853517385236,47928.226824822996,1826.2350039975718,1512.884763864764,349.5114564270043,349.5114564270043,0.7545594305703449,5.738751872590795e-05
2025-10-17,0.9703140107953698,0.9431341886520386,0.9627546662724857,0.9683619532337028,47582.1484375,46668.13391197659,47327.93961078599,47516.50382229198,914.0145255234092,254.2088267140134,65.64461520801706,65.64461520801706,0.784789405106673,8.480699524332834e-05
2025-10-20,1.0179924766020558,0.9483497738838196,0.9681005004085428,1.0061980526124852,49185.5,46843.52581247594,47507.71157638709,48788.8721343061,2341.974187524058,1677.7884236129103,396.627865693903,396.627865693903,0.7768649467083852,5.747947680886353e-05
2025-10-21,1.02187486496495,0.9550356268882751,0.9794641962356817,1.0142732777651173,49316.05859375,47068.36049790401,47889.854733721295,49060.429212474424,2247.69809584599,1426.203860028705,255.62938127557572,255.62938127557572,0.8127835782544757,7.099488613393219e-05
2025-10-22,1.0216289559752052,0.9623510837554932,0.997652116054889,1.0152984918018535,49307.7890625,47314.36776764318,48501.48577443027,49094.90554261396,1993.4212948568165,806.3032880697283,212.88351988603972,212.88351988603972,0.7348508705601943,5.4773660137067194e-05
2025-10-23,1.0018189366416708,0.9697344899177551,1.0030382084457834,1.002383277617386,48641.609375,47562.6600649422,48682.611561608996,48660.5872714127,1078.9493100577965,41.002186608995544,18.977896412703558,18.977896412703558,0.7973494927572531,5.299297471113391e-05
2025-10-24,1.021386880238489,0.9758609533309937,1.0089572721712885,1.0187570978872629,49299.64843750001,47768.68336120434,48881.66033367529,49211.21300715355,1530.9650762956662,417.98810382471856,88.435430346457,88.435430346457,0.77478207505864,4.241110784881113e-05
2025-10-27,1.0574478015480766,0.9820001721382141,1.0180877316708477,1.0486008237882416,50512.3203125,47975.135601236485,49188.70327763906,50214.81041207352,2537.184711263515,1323.6170348609376,297.50990042647754,297.50990042647754,0.824132114745694,5.435108435546846e-05
2025-10-28,1.0487307518426332,0.9895621538162231,1.0309740565710495,1.045832768919201,50219.1796875,48229.43311131559,49622.05004780137,50121.72509516428,1989.7465761844069,597.129639698629,97.45459233572183,97.45459233572183,0.831920603831365,6.732063548574706e-05
2025-10-29,1.081098275779556,0.9971269965171814,1.0455504715554103,1.0724987998115039,51307.6484375,48483.82683308143,50112.23188032053,51018.46163174242,2823.8216044185683,1195.4165571794729,289.18680575757753,289.18680575757753,0.7860461732426023,6.547039739840767e-05
2025-10-30,1.0816323757015434,1.0059850215911865,1.0579305795441027,1.0762007325241274,51325.609375,48781.708237249404,50528.55537462233,51142.95178675539,2543.901137750596,797.0540003776696,182.65758824461227,182.65758824461227,0.8045757623116078,7.50387061901721e-05
2025-10-31,1.1139184720514037,1.0151830911636353,1.069148320438139,1.1038435272031355,52411.33984375,49091.02480126731,50905.79029789142,52072.53534802508,3320.315042482689,1505.5495458585792,338.80449572492216,338.80449572492216,0.7889252037231084,6.438488822664036e-05
2025-11-04,1.0867349001193651,1.0257651805877686,1.0930772348261288,1.0882473328648645,51497.19921875,49446.88376874104,51710.4819259415,51548.05994517322,2050.3154500089586,213.2827071915017,50.8607264232196,50.8607264232196,0.766861161531292,7.029662092413872e-05
2025-11-05,1.0485252662484623,1.0352952480316162,1.1053980661910425,1.0598725721491513,50212.26953124999,49767.36489723995,52124.81204093155,50593.861521223036,444.90463401003944,1912.5425096815597,381.5919899730434,381.5919899730434,0.8367164781433254,6.122320218174622e-05
2025-11-06,1.0684908227276126,1.0420564413070679,1.0991946078195833,1.0745486424237467,50883.6796875,49994.733157085255,51916.199525732125,51087.39460388428,888.9465304147452,1032.519838232125,203.71491638427688,203.71491638427688,0.7873337450079272,3.5070548820050144e-05
2025-11-07,1.05043143843633,1.0478944778442383,1.0972559148651715,1.0603785051614802,50276.37109375,50191.057112678885,51851.004341175074,50610.87525000212,85.31398107111454,1574.633247425074,334.5041562521219,334.5041562521219,0.7968732395492117,5.484651543110925e-05
