epoch,loss
1,0.014439156916892357
2,0.04017286317507938
3,0.050685226146654445
4,0.0686437437586908
5,0.04173257667767954
6,0.02065475907226288
7,0.01119370589829585
8,0.0030643427453469485
9,0.0021560564023643935
10,0.0015554617014925964
11,0.0017440651309034612
12,0.001657875934167375
13,0.0014561054157565122
14,0.0013901194958905122
15,0.0014356476939291177
16,0.001366978169440896
17,0.0012839955143627358
18,0.0011448021699883662
19,0.0012223118090431042
20,0.0011189986439972385
21,0.0010876889644203254
22,0.000988193920469761
23,0.0010613278484654714
24,0.0010421402769901073
25,0.001124641802390043
26,0.000991563551144429
27,0.0010372411447492228
28,0.0009014824842066642
29,0.0008159087656413494
30,0.000791130135759296
31,0.0008511225959581852
32,0.0005940486296674715
33,0.0006574140701362725
34,0.0006921011517988518
35,0.0007309432017004961
36,0.0006585053166860677
37,0.0006327329330717377
38,0.000718273931459014
39,0.0006770180362100537
40,0.000507865591537887
41,0.0006379032193099438
42,0.0006948063562319747
43,0.0004488596256320503
44,0.0005928082164000198
45,0.0005241006305417663
46,0.0005532415878504351
47,0.0004935203527369398
48,0.0005376660758613709
49,0.000508703113450178
50,0.0005217591380052319
